遭う,あう,"to meet,to encounter (undesirable nuance)"
扇ぐ,あおぐ,"to fan,to flap"
青白い,あおじろい,"pale,pallid"
明き,あき,"room,time to spare,emptiness"
飽くまで,あくまで,"to the end,to the last,stubbornly"
明け方,あけがた,dawn
揚げる,あげる,"to lift,to fry"
挙げる,あげる,"to raise,to fly"
憧れる,あこがれる,"to long for,to yearn after,to admire"
足跡,あしあと,footprints
味わう,あじわう,"to taste,to savor,to relish"
預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of"
暖まる,あたたまる,"to warm up,to get warm"
暖める,あたためる,"to warm,to heat"
厚かましい,あつかましい,"impudent,shameless,brazen"
圧縮,あっしゅく,"compression,condensation,pressure"
宛名,あてな,"address,direction"
暴れる,あばれる,"to act violently,to rage,to struggle,to be riotous"
脂,あぶら,"fat,tallow,lard"
雨戸,あまど,sliding storm door
甘やかす,あまやかす,"to pamper,to spoil"
余る,あまる,"to remain,to be left over,to be in excess,to be too many"
編物,あみもの,"knitting,web"
編む,あむ,to knit
危うい,あやうい,"dangerous,critical,grave"
怪しい,あやしい,"suspicious,dubious,doubtful"
荒い,あらい,"rough,rude,wild"
粗い,あらい,"coarse,rough"
争う,あらそう,"to dispute,to argue,to be at variance,to compete"
改めて,あらためて,"another time,again,over again,anew,formally"
改める,あらためる,"to change,to alter,to reform,to revise"
著す,あらわす,"to write,to publish"
有難い,ありがたい,"grateful,thankful,welcome,appreciated,evoking gratitude"
在る,ある,"to live,to be"
安易,あんい,easy-going
案外,あんがい,unexpectedly
言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice"
言い付ける,いいつける,"to tell,to tell on (someone),to order"
意義,いぎ,"meaning,significance"
生き生き,いきいき,"vividly,lively"
育児,いくじ,"childcare,nursing,upbringing"
幾分,いくぶん,somewhat
生け花,いけばな,(1) flower arrangement
以後,いご,"after this,from now on,hereafter,thereafter"
以降,いこう,"on and after,hereafter,thereafter"
勇ましい,いさましい,"brave,valiant,gallant,courageous"
衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)"
意地悪,いじわる,"malicious,ill-tempered,unkind"
一応,いちおう,"once,tentatively,in outline,for the time being"
一段と,いちだんと,"greater,more,further,still more"
一流,いちりゅう,"first class,top grade,foremost,top-notch"
佚,いつ,"be lost,peace,hide,mistake,beautiful,in turn"
一昨日,いっさくじつ,day before yesterday
一昨年,いっさくねん,year before last
一斉,いっせい,"simultaneous,all at once"
一旦,いったん,"once,for a moment,one morning,temporarily"
一定,いってい,"fixed,settled,definite"
行ってまいります,いってまいります,good bye; I'm off; see you later(polite)
移転,いてん,"moving,transfer,demise"
井戸,いど,water well
緯度,いど,latitude (nav.)
従姉妹,いとこ,cousin (female)
威張る,いばる,"to be proud,to swagger"
嫌がる,いやがる,"to hate,to dislike"
炒る/煎る,いる,"to parch,to fry"
入れ物,いれもの,"container,case,receptacle"
引力,いんりょく,gravity
植木,うえき,"garden shrubs,trees,potted plant"
飢える,うえる,to starve
浮ぶ,うかぶ,"to float,to rise to surface,to come to mind"
浮かべる,うかべる,"to float,to express,to look (sad, glad)"
浮く,うく,"to float,to become merry,to become loose"
承る,うけたまわる,"(hum) to hear,to be told,to know"
受取,うけとり,receipt
受け持つ,うけもつ,to take (be in) charge of
薄暗い,うすぐらい,"dim,gloomy"
薄める,うすめる,"to dilute,to water down"
